Algorithm,Processes,Size,Latency
basic_linear,4,8,0.39
basic_linear,4,16,0.35
basic_linear,4,32,0.37
basic_linear,4,64,0.39
basic_linear,4,128,0.47
basic_linear,4,256,0.49
basic_linear,4,512,0.52
basic_linear,4,1024,0.58
basic_linear,4,2048,0.77
basic_linear,4,4096,1.14
basic_linear,4,8192,1.85
basic_linear,4,16384,3.67
basic_linear,4,32768,6.77
basic_linear,4,65536,12.35
basic_linear,4,131072,23.27
basic_linear,4,262144,65.32
basic_linear,4,524288,142.48
basic_linear,4,1048576,318.93
basic_linear,8,2,0.64
basic_linear,8,4,0.54
basic_linear,8,8,0.53
basic_linear,8,16,0.53
basic_linear,8,32,0.55
basic_linear,8,64,0.55
basic_linear,8,128,0.67
basic_linear,8,256,0.67
basic_linear,8,512,0.73
basic_linear,8,1024,0.78
basic_linear,8,2048,0.95
basic_linear,8,4096,1.39
basic_linear,8,8192,2.33
basic_linear,8,16384,4.82
basic_linear,8,32768,8.58
basic_linear,8,65536,15.95
basic_linear,8,131072,32.03
basic_linear,8,262144,134.58
basic_linear,8,524288,317.20
basic_linear,8,1048576,758.16
basic_linear,16,2,1.01
basic_linear,16,4,1.06
basic_linear,16,8,1.00
basic_linear,16,16,1.02
basic_linear,16,32,1.07
basic_linear,16,64,1.08
basic_linear,16,128,1.36
basic_linear,16,256,1.38
basic_linear,16,512,1.38
basic_linear,16,1024,1.51
basic_linear,16,2048,1.80
basic_linear,16,4096,2.28
basic_linear,16,8192,3.57
basic_linear,16,16384,7.68
basic_linear,16,32768,15.28
basic_linear,16,65536,30.99
basic_linear,16,131072,68.46
basic_linear,16,262144,276.65
basic_linear,16,524288,671.46
basic_linear,16,1048576,1742.41
basic_linear,32,2,1.29
basic_linear,32,4,1.34
basic_linear,32,8,1.33
basic_linear,32,16,1.33
basic_linear,32,32,1.42
basic_linear,32,64,1.34
basic_linear,32,128,1.56
basic_linear,32,256,1.60
basic_linear,32,512,1.66
basic_linear,32,1024,1.79
basic_linear,32,2048,2.01
basic_linear,32,4096,2.61
basic_linear,32,8192,4.35
basic_linear,32,16384,8.13
basic_linear,32,32768,16.30
basic_linear,32,65536,33.78
basic_linear,32,131072,67.78
basic_linear,32,262144,599.84
basic_linear,32,524288,1369.16
basic_linear,32,1048576,3399.46
basic_linear,64,2,
basic_linear,64,4,
basic_linear,64,8,
basic_linear,64,16,
basic_linear,64,32,
basic_linear,64,64,
basic_linear,64,128,
basic_linear,64,256,
basic_linear,64,512,
basic_linear,64,1024,
basic_linear,64,2048,
basic_linear,64,4096,
basic_linear,64,8192,
basic_linear,64,16384,
basic_linear,64,32768,
basic_linear,64,65536,
basic_linear,64,131072,
basic_linear,64,262144,
basic_linear,64,524288,
basic_linear,64,1048576,
basic_linear,128,2,
basic_linear,128,4,
basic_linear,128,8,
basic_linear,128,16,
basic_linear,128,32,
basic_linear,128,64,
basic_linear,128,128,
basic_linear,128,256,
basic_linear,128,512,
basic_linear,128,1024,
basic_linear,128,2048,
basic_linear,128,4096,
basic_linear,128,8192,
basic_linear,128,16384,
basic_linear,128,32768,
basic_linear,128,65536,
basic_linear,128,131072,
basic_linear,128,262144,
basic_linear,128,524288,
basic_linear,128,1048576,
basic_linear,256,2,
basic_linear,256,4,
basic_linear,256,8,
basic_linear,256,16,
basic_linear,256,32,
basic_linear,256,64,
basic_linear,256,128,
basic_linear,256,256,
basic_linear,256,512,
basic_linear,256,1024,
basic_linear,256,2048,
basic_linear,256,4096,
basic_linear,256,8192,
basic_linear,256,16384,
basic_linear,256,32768,
basic_linear,256,65536,
basic_linear,256,131072,
basic_linear,256,262144,
basic_linear,256,524288,
basic_linear,256,1048576,
