Algorithm,Processes,Size,Latency
basic_linear,32,32,3.92
basic_linear,32,64,3.79
basic_linear,32,128,7.76
basic_linear,32,256,8.05
basic_linear,32,512,8.59
basic_linear,32,1024,11.41
basic_linear,32,2048,14.65
basic_linear,32,4096,19.56
basic_linear,32,8192,28.56
basic_linear,32,16384,20.73
basic_linear,32,32768,42.94
basic_linear,32,65536,91.05
basic_linear,32,131072,192.39
basic_linear,32,262144,389.44
basic_linear,32,524288,784.6
basic_linear,32,1048576,1429.76
basic_linear,34,2,4.87
basic_linear,34,4,4.79
basic_linear,34,8,4.8
basic_linear,34,16,4.87
basic_linear,34,32,5.29
basic_linear,34,64,5.08
basic_linear,34,128,9.28
basic_linear,34,256,9.63
basic_linear,34,512,9.93
basic_linear,34,1024,12.98
basic_linear,34,2048,15.9
basic_linear,34,4096,20.69
basic_linear,34,8192,30.6
basic_linear,34,16384,22.96
basic_linear,34,32768,44.95
basic_linear,34,65536,93.12
basic_linear,34,131072,195.65
basic_linear,34,262144,374.98
basic_linear,34,524288,674.7
basic_linear,34,1048576,1363.56
basic_linear,36,2,4.75
basic_linear,36,4,4.69
basic_linear,36,8,4.67
basic_linear,36,16,4.67
basic_linear,36,32,5.19
basic_linear,36,64,5.09
basic_linear,36,128,9.1
basic_linear,36,256,9.58
basic_linear,36,512,10.05
basic_linear,36,1024,13.4
basic_linear,36,2048,17.38
basic_linear,36,4096,21.79
basic_linear,36,8192,31.87
basic_linear,36,16384,23.43
basic_linear,36,32768,45.21
basic_linear,36,65536,93.37
basic_linear,36,131072,194.81
basic_linear,36,262144,393.84
basic_linear,36,524288,680.8
basic_linear,36,1048576,1500.16
basic_linear,38,2,4.27
basic_linear,38,4,4.38
basic_linear,38,8,4.23
basic_linear,38,16,4.25
basic_linear,38,32,4.83
basic_linear,38,64,4.69
basic_linear,38,128,8.81
basic_linear,38,256,9.13
basic_linear,38,512,10.44
basic_linear,38,1024,12.97
basic_linear,38,2048,16.0
basic_linear,38,4096,23.05
basic_linear,38,8192,32.6
basic_linear,38,16384,23.94
basic_linear,38,32768,45.04
basic_linear,38,65536,92.44
basic_linear,38,131072,196.66
basic_linear,38,262144,397.65
basic_linear,38,524288,811.09
basic_linear,38,1048576,1567.66
basic_linear,40,2,4.31
basic_linear,40,4,4.36
basic_linear,40,8,4.23
basic_linear,40,16,4.5
basic_linear,40,32,4.6
basic_linear,40,64,4.81
basic_linear,40,128,8.93
basic_linear,40,256,9.32
basic_linear,40,512,9.82
basic_linear,40,1024,14.62
basic_linear,40,2048,16.56
basic_linear,40,4096,23.56
basic_linear,40,8192,34.35
basic_linear,40,16384,24.66
basic_linear,40,32768,45.21
basic_linear,40,65536,93.16
basic_linear,40,131072,185.85
basic_linear,40,262144,403.52
basic_linear,40,524288,819.44
basic_linear,40,1048576,1544.5
basic_linear,42,2,4.51
basic_linear,42,4,4.46
basic_linear,42,8,4.45
basic_linear,42,16,4.61
basic_linear,42,32,4.91
basic_linear,42,64,4.89
basic_linear,42,128,9.26
basic_linear,42,256,9.75
basic_linear,42,512,10.21
basic_linear,42,1024,15.36
basic_linear,42,2048,17.31
basic_linear,42,4096,24.56
basic_linear,42,8192,36.67
basic_linear,42,16384,24.6
basic_linear,42,32768,47.89
basic_linear,42,65536,94.63
basic_linear,42,131072,214.61
basic_linear,42,262144,428.61
basic_linear,42,524288,850.74
basic_linear,42,1048576,1597.4
basic_linear,44,2,4.4
basic_linear,44,4,4.41
basic_linear,44,8,4.51
basic_linear,44,16,4.46
basic_linear,44,32,4.87
basic_linear,44,64,5.07
basic_linear,44,128,9.58
basic_linear,44,256,9.91
basic_linear,44,512,11.87
basic_linear,44,1024,14.11
basic_linear,44,2048,18.75
basic_linear,44,4096,25.63
basic_linear,44,8192,37.28
basic_linear,44,16384,25.51
basic_linear,44,32768,48.79
basic_linear,44,65536,96.82
basic_linear,44,131072,220.97
basic_linear,44,262144,381.31
basic_linear,44,524288,847.41
basic_linear,44,1048576,1768.45
basic_linear,46,2,4.63
basic_linear,46,4,4.79
basic_linear,46,8,4.7
basic_linear,46,16,4.83
basic_linear,46,32,5.22
basic_linear,46,64,5.55
basic_linear,46,128,10.0
basic_linear,46,256,10.38
basic_linear,46,512,11.85
basic_linear,46,1024,15.37
basic_linear,46,2048,18.75
basic_linear,46,4096,27.0
basic_linear,46,8192,39.28
basic_linear,46,16384,27.23
basic_linear,46,32768,51.33
basic_linear,46,65536,99.56
basic_linear,46,131072,231.91
basic_linear,46,262144,411.25
basic_linear,46,524288,865.9
basic_linear,46,1048576,1708.32
basic_linear,48,2,4.94
basic_linear,48,4,5.0
