Algorithm,Processes,Size,Latency
basic_linear,16,2048,1.27
basic_linear,16,4096,1.71
basic_linear,16,8192,2.88
basic_linear,16,16384,6.49
basic_linear,16,32768,13.39
basic_linear,16,65536,28.03
basic_linear,16,131072,54.59
basic_linear,16,262144,250.78
basic_linear,16,524288,649.45
basic_linear,16,1048576,1851.01
basic_linear,32,2,1.92
basic_linear,32,4,1.99
basic_linear,32,8,2.03
basic_linear,32,16,1.99
basic_linear,32,32,1.94
basic_linear,32,64,1.99
basic_linear,32,128,2.30
basic_linear,32,256,2.43
basic_linear,32,512,2.37
basic_linear,32,1024,2.58
basic_linear,32,2048,2.80
basic_linear,32,4096,4.03
basic_linear,32,8192,5.65
basic_linear,32,16384,12.08
basic_linear,32,32768,27.09
basic_linear,32,65536,69.10
basic_linear,32,131072,225.99
basic_linear,32,262144,539.17
basic_linear,32,524288,1688.59
basic_linear,32,1048576,4006.28
basic_linear,64,2,1.49
basic_linear,64,4,1.42
basic_linear,64,8,1.37
basic_linear,64,16,1.39
basic_linear,64,32,1.45
basic_linear,64,64,1.40
basic_linear,64,128,1.67
basic_linear,64,256,1.65
basic_linear,64,512,1.93
basic_linear,64,1024,1.97
basic_linear,64,2048,2.03
basic_linear,64,4096,2.90
basic_linear,64,8192,3.93
basic_linear,64,16384,8.42
basic_linear,64,32768,19.98
basic_linear,64,65536,44.78
basic_linear,64,131072,92.95
basic_linear,64,262144,1301.01
basic_linear,64,524288,2817.77
basic_linear,64,1048576,6597.79
basic_linear,128,2,
basic_linear,128,4,
basic_linear,128,8,
basic_linear,128,16,
basic_linear,128,32,
basic_linear,128,64,
basic_linear,128,128,
basic_linear,128,256,
basic_linear,128,512,
basic_linear,128,1024,
basic_linear,128,2048,
basic_linear,128,4096,
basic_linear,128,8192,
basic_linear,128,16384,
basic_linear,128,32768,
basic_linear,128,65536,
basic_linear,128,131072,
basic_linear,128,262144,
basic_linear,128,524288,
basic_linear,128,1048576,
basic_linear,256,2,
basic_linear,256,4,
basic_linear,256,8,
basic_linear,256,16,
basic_linear,256,32,
basic_linear,256,64,
